   Elapsed time	 RESP, 	PLETH, 	    V, 	  AVR, 	   II, 
   hh:mm:ss.mmm	   (pm)	   (NU)	   (mV)	   (mV)	   (mV)
       0:00.000	  0.354	  0.436	  0.525	  0.304	  0.725
       0:00.008	  0.357	  0.432	  0.520	  0.335	  0.671
       0:00.016	  0.359	  0.428	  0.516	  0.375	  0.610
       0:00.024	  0.362	  0.424	  0.506	  0.420	  0.551
       0:00.032	  0.364	  0.421	  0.510	  0.449	  0.500
       0:00.040	  0.366	  0.418	  0.506	  0.480	  0.455
       0:00.048	  0.367	  0.417	  0.516	  0.510	  0.410
       0:00.056	  0.369	  0.416	  0.516	  0.520	  0.390
       0:00.064	  0.369	  0.415	  0.520	  0.535	  0.375
       0:00.072	  0.369	  0.414	  0.520	  0.545	  0.359
       0:00.080	  0.369	  0.413	  0.525	  0.545	  0.355
       0:00.088	  0.368	  0.412	  0.525	  0.555	  0.349
       0:00.096	  0.367	  0.410	  0.535	  0.551	  0.355
       0:00.104	  0.366	  0.408	  0.529	  0.545	  0.365
       0:00.112	  0.362	  0.407	  0.525	  0.545	  0.355
       0:00.120	  0.359	  0.407	  0.535	  0.545	  0.365
       0:00.128	  0.353	  0.407	  0.525	  0.545	  0.375
       0:00.136	  0.347	  0.408	  0.520	  0.535	  0.371
       0:00.144	  0.341	  0.409	  0.520	  0.529	  0.390
       0:00.152	  0.334	  0.409	  0.520	  0.529	  0.390
       0:00.160	  0.327	  0.411	  0.516	  0.529	  0.390
       0:00.168	  0.322	  0.412	  0.520	  0.520	  0.394
       0:00.176	  0.312	  0.412	  0.516	  0.520	  0.404
       0:00.184	  0.303	  0.411	  0.520	  0.520	  0.404
       0:00.192	  0.292	  0.409	  0.516	  0.520	  0.400
       0:00.200	  0.282	  0.407	  0.520	  0.525	  0.394
       0:00.208	  0.269	  0.405	  0.516	  0.529	  0.384
       0:00.216	  0.256	  0.405	  0.520	  0.529	  0.384
       0:00.224	  0.242	  0.406	  0.516	  0.529	  0.380
       0:00.232	  0.229	  0.409	  0.520	  0.520	  0.390
       0:00.240	  0.218	  0.413	  0.529	  0.516	  0.404
       0:00.248	  0.206	  0.420	  0.555	  0.500	  0.420
       0:00.256	  0.196	  0.432	  0.565	  0.506	  0.420
       0:00.264	  0.188	  0.453	  0.575	  0.494	  0.425
       0:00.272	  0.178	  0.474	  0.545	  0.500	  0.425
       0:00.280	  0.169	  0.496	  0.529	  0.510	  0.400
       0:00.288	  0.161	  0.518	  0.500	  0.520	  0.390
       0:00.296	  0.153	  0.535	  0.490	  0.516	  0.404
       0:00.304	  0.147	  0.550	  0.475	  0.516	  0.420
       0:00.312	  0.141	  0.564	  0.471	  0.500	  0.429
       0:00.320	  0.137	  0.576	  0.475	  0.500	  0.435
       0:00.328	  0.133	  0.585	  0.494	  0.510	  0.429
       0:00.336	  0.130	  0.592	  0.506	  0.520	  0.416
       0:00.344	  0.126	  0.596	  0.520	  0.525	  0.410
       0:00.352	  0.124	  0.599	  0.516	  0.520	  0.416
       0:00.360	  0.121	  0.601	  0.516	  0.520	  0.420
       0:00.368	  0.119	  0.602	  0.555	  0.525	  0.404
       0:00.376	  0.116	  0.603	  0.645	  0.551	  0.349
       0:00.384	  0.114	  0.603	  0.551	  0.384	  0.655
       0:00.392	  0.112	  0.601	  0.053	 -0.092	  1.504
       0:00.400	  0.110	  0.598	 -0.502	 -0.437	  1.504
       0:00.408	  0.109	  0.593	 -0.412	 -0.051	  1.504
       0:00.416	  0.107	  0.586	  0.200	  0.455	  0.661
       0:00.424	  0.106	  0.578	  0.439	  0.529	  0.429
       0:00.432	  0.102	  0.572	  0.506	  0.520	  0.420
       0:00.440	  0.099	  0.562	  0.539	  0.525	  0.404
       0:00.448	  0.095	  0.547	  0.565	  0.525	  0.384
       0:00.456	  0.090	  0.534	  0.580	  0.545	  0.349
       0:00.464	  0.086	  0.521	  0.596	  0.555	  0.339
       0:00.472	  0.082	  0.509	  0.580	  0.539	  0.355
       0:00.480	  0.078	  0.502	  0.565	  0.529	  0.380
       0:00.488	  0.075	  0.498	  0.555	  0.535	  0.380
